stage,seed,arm,dyad_present,dyad_coupled_to_evidence,authored_access_used,true_dyad_safe_probability,dyad_safe_observations,dyad_precision_final,potential_evidence_packets,ingested_evidence_packets,initial_permission,final_permission,maximum_permission,permission_rise_episode,first_contact_episode,contact_achieved,contact_episodes,initial_root_probability,final_root_probability,revision_begin_episode,revision_complete_episode,descent_occurred,permission_before_revision,permission_to_revision_lag,root_updates,vulnerable_registered_rejections,permission_path,root_path
pilot,14903,decoupled,true,false,false,0.8951383008690619,10,0.75,8,0,0.06836333697063783,0.06836333697063783,0.06836333697063783,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14903,authored_access,false,false,true,0.8951383008690619,0,0.5,0,0,0.06836333697063783,0.06836333697063783,0.06836333697063783,0,1,true,12,0.06000000000000001,0.9999999981749019,2,2,true,false,0,12,0,0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783,0.06000000000000001;0.37228231841649917;0.8464024725792524;0.9790523069255674;0.9974837190569372;0.9988508134850422;0.9998761912127109;0.9999866735398849;0.9999957798808536;0.9999995458056818;0.999999951117071;0.9999999942365803;0.9999999981749019
pilot,14904,coupled,true,true,false,0.8391334531345467,10,0.75,8,8,0.09530065267164259,0.9974405705231643,0.9974405705231643,2,2,true,11,0.06000000000000001,0.9999999796489811,5,5,true,true,3,11,0,0.09530065267164259;0.09530065267164259;0.9142938117609819;0.9142938117609819;0.9939364468628272;0.9970394049323181;0.9974405705231643;0.9970394049323181;0.9970394049323181;0.9939364468628272;0.9970394049323181;0.9970394049323181;0.9974405705231643,0.06000000000000001;0.06000000000000001;0.12277199270191341;0.14129922192298064;0.5825758512388542;0.9221018752885225;0.9901379587763697;0.9988270367688011;0.9998736269197087;0.9999850986370777;0.9999983962114221;0.999999827391139;0.9999999796489811
pilot,14904,no_dyad,false,false,false,0.8391334531345467,0,0.5,0,0,0.09530065267164259,0.09530065267164259,0.09530065267164259,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14904,decoupled,true,false,false,0.8391334531345467,10,0.75,8,0,0.09530065267164259,0.09530065267164259,0.09530065267164259,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14904,authored_access,false,false,true,0.8391334531345467,0,0.5,0,0,0.09530065267164259,0.09530065267164259,0.09530065267164259,0,1,true,12,0.06000000000000001,0.9999999978097105,4,4,true,false,0,12,0,0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259;0.09530065267164259,0.06000000000000001;0.37228231841649917;0.5652898839198042;0.6045730754183696;0.9284057318767875;0.9909898370121911;0.9989291684784134;0.9998736269197087;0.9999863974948371;0.9999983962114221;0.999999827391139;0.9999999814228749;0.9999999978097105
pilot,14905,coupled,true,true,false,0.701063047008939,6,0.5,6,6,0.10205269128986542,0.10205269128986542,0.9208482797325089,2,2,true,2,0.06000000000000001,0.8341679538112797,3,3,true,true,1,2,0,0.10205269128986542;0.10205269128986542;0.9208482797325089;0.9208482797325089;0.10205269128986542;0.10205269128986542;0.012012751024446489;0.012012751024446489;0.007487709404341676;0.007487709404341676;0.012012751024446489;0.012012751024446489;0.10205269128986542,0.06000000000000001;0.06000000000000001;0.3512297621379089;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797;0.8341679538112797
pilot,14905,no_dyad,false,false,false,0.701063047008939,0,0.5,0,0,0.10205269128986542,0.10205269128986542,0.10205269128986542,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14905,decoupled,true,false,false,0.701063047008939,6,0.5,6,0,0.10205269128986542,0.10205269128986542,0.10205269128986542,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14905,authored_access,false,false,true,0.701063047008939,0,0.5,0,0,0.10205269128986542,0.10205269128986542,0.10205269128986542,0,1,true,12,0.06000000000000001,0.9999999996068509,2,2,true,false,0,12,0,0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542;0.10205269128986542,0.06000000000000001;0.37228231841649917;0.8341679538112797;0.9790523069255674;0.997702546465755;0.9997285744247005;0.9999215247196229;0.9999915534639606;0.9999990909301342;0.9999998928183061;0.9999999884645111;0.9999999987584867;0.9999999996068509
pilot,14906,coupled,true,true,false,0.8035328954772166,11,0.8125,9,9,0.09148209070191847,0.9975267768552497,0.9975267768552497,2,2,true,11,0.06000000000000001,0.9999999584236723,3,5,true,true,1,11,0,0.09148209070191847;0.09148209070191847;0.9100654643378722;0.9100654643378722;0.993826455385766;0.9970278053706887;0.9974386136209726;0.9975107346278015;0.9975107346278015;0.9975242213056336;0.9975267768552497;0.9975242213056336;0.9975267768552497,0.06000000000000001;0.06000000000000001;0.3512297621379089;0.6309417978502713;0.7894073118075479;0.9720897418871182;0.9966262505990853;0.9996358019221718;0.9999607902414982;0.9999886654424763;0.9999967235287041;0.9999996136947338;0.9999999584236723
pilot,14906,no_dyad,false,false,false,0.8035328954772166,0,0.5,0,0,0.09148209070191847,0.09148209070191847,0.09148209070191847,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14906,decoupled,true,false,false,0.8035328954772166,11,0.8125,9,0,0.09148209070191847,0.09148209070191847,0.09148209070191847,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14906,authored_access,false,false,true,0.8035328954772166,0,0.5,0,0,0.09148209070191847,0.09148209070191847,0.09148209070191847,0,1,true,12,0.06000000000000001,0.9999999792274232,3,4,true,false,0,12,0,0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847;0.09148209070191847,0.06000000000000001;0.11328287332364925;0.5200540510582027;0.7738459722206337;0.8823893526746633;0.9858578310645314;0.9983115398028394;0.9998180043372968;0.9999804094366065;0.9999943369385836;0.9999983629900573;0.9999998069921603;0.9999999792274232
pilot,14907,coupled,true,true,false,0.8674937511688007,10,0.75,8,8,0.1075806690440224,0.9974460563062879,0.9974460563062879,2,2,true,11,0.06000000000000001,0.99999985319123,3,3,true,true,1,11,0,0.1075806690440224;0.1075806690440224;0.9254896042398079;0.9254896042398079;0.9942367560864758;0.9970717625130209;0.9974460563062879;0.9970717625130209;0.9970717625130209;0.9974460563062879;0.9970717625130209;0.9974460563062879;0.9974460563062879,0.06000000000000001;0.06000000000000001;0.3512297621379089;0.8341679538112797;0.9407747933935904;0.9932701767743829;0.9966262505990853;0.999601039221118;0.999884640942664;0.9999666507850697;0.9999960679285903;0.9999987548303769;0.99999985319123
pilot,14907,no_dyad,false,false,false,0.8674937511688007,0,0.5,0,0,0.1075806690440224,0.1075806690440224,0.1075806690440224,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14907,decoupled,true,false,false,0.8674937511688007,10,0.75,8,0,0.1075806690440224,0.1075806690440224,0.1075806690440224,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14907,authored_access,false,false,true,0.8674937511688007,0,0.5,0,0,0.1075806690440224,0.1075806690440224,0.1075806690440224,0,1,true,12,0.06000000000000001,0.9999999575624461,2,3,true,false,0,12,0,0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224;0.1075806690440224,0.06000000000000001;0.18087388666753335;0.65191313397849;0.9456566110758498;0.98212742826676;0.9980452788929197;0.99902241612688;0.999884640942664;0.9999666507850697;0.9999903596187663;0.9999988633653075;0.9999996400624148;0.9999999575624461
pilot,14908,coupled,true,true,false,0.903390555305462,10,0.75,8,8,0.12154626969038493,0.9975246646455421,0.9975246646455421,2,2,true,11,0.06000000000000001,0.9999999653557777,3,3,true,true,1,11,0,0.12154626969038493;0.12154626969038493;0.9350275826485319;0.9350275826485319;0.99450554247499;0.9971016353961194;0.9974511565168529;0.9971016353961192;0.9971016353961192;0.9974511565168529;0.9975130718911566;0.9975246646455421;0.9975246646455421,0.06000000000000001;0.06000000000000001;0.37228231841649917;0.8341679538112797;0.9456566110758498;0.9932701767743829;0.9992713230463457;0.9999140319098943;0.9999898633787655;0.9999988048563513;0.9999996215343954;0.9999997061621766;0.9999999653557777
pilot,14908,no_dyad,false,false,false,0.903390555305462,0,0.5,0,0,0.12154626969038493,0.12154626969038493,0.12154626969038493,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14908,decoupled,true,false,false,0.903390555305462,10,0.75,8,0,0.12154626969038493,0.12154626969038493,0.12154626969038493,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14908,authored_access,false,false,true,0.903390555305462,0,0.5,0,0,0.12154626969038493,0.12154626969038493,0.12154626969038493,0,1,true,12,0.06000000000000001,0.9999999890292383,2,3,true,false,0,12,0,0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493;0.12154626969038493,0.06000000000000001;0.16775280251304317;0.6519131339784898;0.9407747933935904;0.98212742826676;0.9978590259438845;0.9997691354297367;0.9999727749462721;0.9999967900210756;0.9999996215343954;0.9999998801515332;0.9999999069505652;0.9999999890292383
pilot,14909,coupled,true,true,false,0.7688463684983284,8,0.625,8,8,0.0986999595909244,0.9940270789756651,0.997049062281215,2,2,true,11,0.06000000000000001,0.9999971119751228,4,4,true,true,2,11,0,0.0986999595909244;0.0986999595909244;0.9177282687746313;0.9177282687746313;0.9940270789756651;0.997049062281215;0.9940270789756651;0.9940270789756651;0.997049062281215;0.9940270789756651;0.9940270789756651;0.997049062281215;0.9940270789756651,0.06000000000000001;0.06000000000000001;0.16775280251304317;0.30649845762039385;0.8041688648496905;0.9720897418871182;0.9917687421564919;0.9962290430956625;0.9995927783779521;0.9976887272318787;0.9997507339005881;0.9999731666323286;0.9999971119751228
pilot,14909,no_dyad,false,false,false,0.7688463684983284,0,0.5,0,0,0.0986999595909244,0.0986999595909244,0.0986999595909244,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14909,decoupled,true,false,false,0.7688463684983284,8,0.625,8,0,0.0986999595909244,0.0986999595909244,0.0986999595909244,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14909,authored_access,false,false,true,0.7688463684983284,0,0.5,0,0,0.0986999595909244,0.0986999595909244,0.0986999595909244,0,1,true,12,0.06000000000000001,0.999999689173958,2,3,true,false,0,12,0,0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244;0.0986999595909244,0.06000000000000001;0.37228231841649917;0.6519131339784898;0.8041688648496905;0.9744604034486563;0.9969194171272879;0.999107551055935;0.9995927783779521;0.9999561566200446;0.9997507339005881;0.9999731666323286;0.9999971119751228;0.999999689173958
pilot,14910,coupled,true,true,false,0.7229183089679536,9,0.6875,8,8,0.12721537545940576,0.9945984461463332,0.9945984461463332,2,2,true,9,0.06000000000000001,0.9999486882904574,4,4,true,true,2,9,0,0.12721537545940576;0.12721537545940576;0.9382076557474122;0.9382076557474122;0.9945984461463332;0.9382076557474122;0.9945984461463332;0.9945984461463332;0.9382076557474122;0.12721537545940576;0.12721537545940576;0.9382076557474122;0.9945984461463332,0.06000000000000001;0.06000000000000001;0.3512297621379089;0.5427601099911444;0.8041688648496906;0.9720897418871184;0.9969194171272879;0.9996675366477344;0.9997172163707968;0.9997172163707968;0.9997172163707968;0.9995649624064609;0.9999486882904574
pilot,14910,no_dyad,false,false,false,0.7229183089679536,0,0.5,0,0,0.12721537545940576,0.12721537545940576,0.12721537545940576,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14910,decoupled,true,false,false,0.7229183089679536,9,0.6875,8,0,0.12721537545940576,0.12721537545940576,0.12721537545940576,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14910,authored_access,false,false,true,0.7229183089679536,0,0.5,0,0,0.12721537545940576,0.12721537545940576,0.12721537545940576,0,1,true,12,0.06000000000000001,0.999998741554564,2,2,true,false,0,12,0,0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576;0.12721537545940576,0.06000000000000001;0.3512297621379089;0.8211648221122465;0.9096489851846495;0.9720897418871184;0.9966262505990853;0.9996358019221718;0.9999607902414982;0.9999666507850697;0.9999847899699004;0.9999930630231157;0.9999893264891622;0.999998741554564
