seed,bank_seed,stratum,q0_P,avoidance_count,censored_count,total_M_PT,total_M_PD,withheld_BF_identity_PT,withheld_BF_identity_PD,availability_identity_error_PT,availability_identity_error_PD,closed_minus_yoked_direct_residual_PT,closed_minus_yoked_direct_residual_PD,policy_generated_censoring,interpretation
816017,820616,moderate,0.7017259406488323,15,10,8.65907480259979,6.175924507748725,8.659074802599791,6.175924507748726,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816018,820644,moderate,0.7356682529704378,16,10,12.569758105247281,13.404044138592154,12.569758105247278,13.404044138592152,3.552713678800501e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816019,820794,moderate,0.7218635464936165,14,9,7.518820182298235,6.3994780876326125,7.518820182298232,6.3994780876326125,2.6645352591003757e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816020,820801,moderate,0.7288134446908097,16,10,11.157573946970682,11.531506888687353,11.157573946970679,11.531506888687353,3.552713678800501e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816021,820834,moderate,0.6098851395820205,17,6,7.980826089601319,8.673175301551336,7.980826089601322,8.673175301551332,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816022,820873,moderate,0.653346863330913,11,4,3.867512816211793,3.3562258964105993,3.86751281621179,3.3562258964105984,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816023,820883,moderate,0.6857037124531741,12,4,6.310287872732989,6.928691152749128,6.310287872732988,6.928691152749127,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816024,820928,moderate,0.6411452200782941,12,4,3.485919556179791,3.1836166529395307,3.485919556179793,3.18361665293953,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816025,820969,moderate,0.6133137453307144,8,3,2.6715341080605484,1.796662351694387,2.6715341080605413,1.7966623516943858,7.105427357601002e-15,1.1102230246251565e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816026,820977,moderate,0.6913822068815904,15,5,7.124673320852242,8.315645453994271,7.1246733208522395,8.315645453994271,2.6645352591003757e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816027,820979,moderate,0.6650502699722121,12,4,5.928694612700987,6.756081909278063,5.9286946127009905,6.756081909278058,3.552713678800501e-15,4.440892098500626e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816028,821011,moderate,0.603146505775717,15,5,6.475675682639636,6.78832669103161,6.475675682639637,6.78832669103161,8.881784197001252e-16,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816029,821029,moderate,0.7056762968824577,13,5,6.305762712938556,6.187309842452034,6.305762712938554,6.187309842452034,1.7763568394002505e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816030,821072,moderate,0.6814900572056217,13,5,6.0940824226076415,6.615717447560545,6.09408242260764,6.615717447560542,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816031,821121,moderate,0.7217395351414433,13,8,11.208391587189375,11.984845055593453,11.208391587189379,11.984845055593455,3.552713678800501e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816032,821122,moderate,0.7015772873701569,15,10,9.859578670545474,8.47686936276203,9.859578670545474,8.47686936276203,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816033,821130,moderate,0.723202811131943,17,11,14.838095032272967,15.634111236054007,14.838095032272957,15.63411123605401,1.0658141036401503e-14,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816034,821201,moderate,0.6472128745140893,16,10,9.859578670545474,8.47686936276203,9.859578670545474,8.47686936276203,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816035,821228,moderate,0.6837991636847526,16,10,10.126983048726075,9.831578882253623,10.126983048726078,9.831578882253623,3.552713678800501e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816036,821232,moderate,0.6069128444093571,13,8,6.704434734178982,5.012523786387469,6.704434734178981,5.012523786387468,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816037,821264,moderate,0.734010406866023,13,8,8.450860438523971,8.116714595340234,8.450860438523973,8.116714595340234,1.7763568394002505e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816038,821312,moderate,0.6564481890557479,10,6,7.022656752578282,6.820571472785158,7.022656752578285,6.820571472785162,2.6645352591003757e-15,4.440892098500626e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816039,821331,moderate,0.6651770437761415,14,9,9.312597600606832,8.444624581008476,9.312597600606829,8.44462458100848,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816040,821361,moderate,0.686108922313596,18,12,14.312717883337175,14.995852465061922,14.312717883337173,14.995852465061915,1.7763568394002505e-15,7.105427357601002e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816041,820001,strong,0.8887940021347144,16,6,5.610472594301694,4.948034222880363,5.610472594301687,4.948034222880364,7.105427357601002e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816042,820002,strong,0.8628422075865141,18,6,8.053247650822883,8.520499479218891,8.053247650822884,8.520499479218891,1.7763568394002505e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816043,820008,strong,0.8806262507092794,20,7,7.188044562484933,6.6802070110676475,7.188044562484934,6.680207011067646,8.881784197001252e-16,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816044,820030,strong,0.8757183077159478,21,7,7.837042200697539,8.207525774030312,7.837042200697536,8.207525774030307,2.6645352591003757e-15,5.329070518200751e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816045,820041,strong,0.8537184568760733,19,7,7.976300929806886,7.931793991254242,7.976300929806888,7.931793991254241,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816046,820068,strong,0.8872662615156244,14,5,7.506266580884237,8.48825469746534,7.506266580884237,8.48825469746534,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816047,820072,strong,0.8806262507092795,16,6,5.610472594301683,4.948034222880359,5.610472594301687,4.948034222880364,3.552713678800501e-15,4.440892098500626e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816048,820080,strong,0.7776905670825989,13,5,6.857268942671638,6.960935934502682,6.8572689426716344,6.960935934502679,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816049,820113,strong,0.7504557674559824,17,6,7.0226567525782855,6.820571472785165,7.022656752578285,6.820571472785162,8.881784197001252e-16,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816050,820116,strong,0.7559728029788922,11,4,5.928694612700994,6.7560819092780555,5.9286946127009905,6.756081909278058,3.552713678800501e-15,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816051,820130,strong,0.7568473270985074,12,8,9.528803050732172,8.757598286197062,9.528803050732176,8.757598286197064,3.552713678800501e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816052,820158,strong,0.8959413552644473,14,9,13.167556815404623,13.889627087251807,13.167556815404623,13.889627087251807,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816053,820177,strong,0.8003773630484343,17,11,10.286786465298956,9.72083428242492,10.286786465298956,9.720834282424924,0.0,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816054,820179,strong,0.8770977855393868,14,9,9.312597600606821,8.444624581008476,9.312597600606829,8.44462458100848,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816055,820232,strong,0.8448058358784342,15,10,12.95135136527928,13.57665338206322,12.951351365279274,13.57665338206322,5.329070518200751e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816056,820241,strong,0.8868291474718663,15,10,10.241171930577472,8.6494786062331,10.241171930577472,8.6494786062331,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816057,820243,strong,0.8346331022070278,16,10,11.580934527632508,10.674691678470342,11.580934527632508,10.674691678470339,0.0,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816058,820328,strong,0.7776905670825988,10,6,5.610472594301683,4.948034222880363,5.610472594301687,4.948034222880364,3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816059,820330,strong,0.8357270792576749,14,9,8.663599962394223,6.9173058180458185,8.663599962394226,6.9173058180458185,3.552713678800501e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816060,820346,strong,0.7612375029950547,21,14,17.200457441523064,17.105488521944885,17.200457441523064,17.10548852194489,0.0,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816061,820360,strong,0.844805835878434,18,6,5.368138063379039,4.499693196633231,5.368138063379041,4.499693196633229,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816062,820421,strong,0.7676831548720404,13,5,6.475675682639636,6.78832669103161,6.475675682639637,6.78832669103161,8.881784197001252e-16,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816063,820448,strong,0.7879590499235631,16,6,7.0226567525782855,6.820571472785161,7.022656752578284,6.820571472785162,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816064,820456,strong,0.844805835878434,17,6,6.641063492546287,6.647962229314093,6.641063492546287,6.647962229314093,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816065,820461,strong,0.8080777075324813,20,7,8.981821980793526,8.725353504443511,8.981821980793528,8.725353504443513,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816066,820472,strong,0.8850784038231684,14,5,4.03290062611844,3.2158614346930854,4.0329006261184395,3.215861434693082,8.881784197001252e-16,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816067,820490,strong,0.7902414029436613,15,5,4.032900626118444,3.215861434693082,4.0329006261184395,3.215861434693082,4.440892098500626e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816068,820496,strong,0.7831633438564238,13,5,3.0023097278738398,1.515933428259352,3.0023097278738398,1.5159334282593526,0.0,6.661338147750939e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816069,820512,strong,0.8806262507092795,22,8,8.90487525977753,8.136648016478862,8.904875259777533,8.136648016478862,3.552713678800501e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816070,820529,strong,0.8003773630484342,15,5,3.651307366086442,3.043252191222013,3.651307366086442,3.043252191222013,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816071,820537,strong,0.8874809507815544,16,10,10.241171930577469,8.649478606233103,10.241171930577472,8.6494786062331,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816072,820560,strong,0.7879590499235631,13,8,7.620836750572188,7.894552068841719,7.620836750572187,7.894552068841721,8.881784197001252e-16,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816073,820577,strong,0.8995163372688316,13,8,6.632013172957418,5.1651996087199095,6.632013172957418,5.1651996087199095,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816074,820592,strong,0.835216387602491,11,7,6.806451302452942,6.507597767596579,6.8064513024529365,6.507597767596577,5.329070518200751e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816075,820619,strong,0.8741046604438683,13,8,9.528803050732176,8.757598286197059,9.528803050732176,8.757598286197064,0.0,5.329070518200751e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816076,820627,strong,0.7793689255317249,20,13,14.210701315063218,13.500778483852809,14.210701315063218,13.500778483852807,0.0,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816077,820634,strong,0.8618212840738304,17,11,9.807701796787438,8.794532368041839,9.807701796787438,8.794532368041839,0.0,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816078,820656,strong,0.844805835878434,13,8,7.08602799421098,5.185133029858537,7.086027994210978,5.1851330298585365,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816079,820684,strong,0.8288528436809728,11,7,9.630819619006136,10.252672267406176,9.63081961900613,10.252672267406174,5.329070518200751e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816080,820696,strong,0.8060875819929892,16,10,11.157573946970682,11.531506888687353,11.157573946970679,11.531506888687353,3.552713678800501e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816081,820032,very_strong,0.94837591222579,17,6,5.610472594301687,4.948034222880366,5.610472594301687,4.948034222880364,0.0,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816082,820033,very_strong,0.9188974824066823,16,6,7.290061130758893,8.175280992276758,7.29006113075889,8.175280992276754,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816083,820056,very_strong,0.9771811749311494,16,6,7.404250012610284,6.993180716256234,7.404250012610282,6.993180716256231,1.7763568394002505e-15,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816084,820066,very_strong,0.9592937823230168,19,7,5.126862765995735,3.280350998200184,5.1268627659957335,3.2803509982001864,1.7763568394002505e-15,2.220446049250313e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816085,820074,very_strong,0.9702745116697676,12,4,4.7281907447553095,4.45513705426475,4.728190744755307,4.455137054264753,2.6645352591003757e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816086,820081,very_strong,0.9765503100373922,21,7,8.867633098942132,9.907453780464039,8.867633098942136,9.907453780464035,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816087,820082,very_strong,0.9340314527284819,15,5,5.445084784395046,5.08839868459788,5.445084784395037,5.08839868459788,8.881784197001252e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816088,820090,very_strong,0.9450593616376496,19,7,5.775860404208341,4.807669761162849,5.775860404208336,4.807669761162847,5.329070518200751e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816089,820092,very_strong,0.9391943696683516,17,6,3.9308840578444837,1.7207874534839753,3.9308840578444846,1.7207874534839733,8.881784197001252e-16,1.9984014443252818e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816090,820105,very_strong,0.9407325016144691,14,5,3.651307366086442,3.0432521912220096,3.651307366086442,3.043252191222013,0.0,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816091,820107,very_strong,0.9422563407252309,10,6,7.022656752578282,6.820571472785161,7.022656752578285,6.820571472785162,2.6645352591003757e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816092,820115,very_strong,0.9490949056432447,16,10,7.798396874056277,5.077013349894575,7.798396874056275,5.077013349894572,1.7763568394002505e-15,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816093,820147,very_strong,0.9483777788049051,17,11,10.18929505681944,8.967141611512908,10.189295056819434,8.967141611512908,5.329070518200751e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816094,820148,very_strong,0.9504303366804618,18,12,12.747318228731366,10.586505419645004,12.747318228731364,10.586505419645002,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816095,820153,very_strong,0.9188974824066823,12,8,12.620575745465977,13.857382305498255,12.620575745465976,13.857382305498254,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816096,820155,very_strong,0.9607023641744544,15,10,12.951351365279276,13.576653382063224,12.951351365279274,13.57665338206322,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816097,820186,very_strong,0.9435803450186319,16,10,10.338663339056993,9.40317127714512,10.338663339056994,9.403171277145116,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816098,820194,very_strong,0.9626097883056925,18,12,12.13734720499658,12.778096728214983,12.13734720499658,12.778096728214981,0.0,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816099,820202,very_strong,0.9454670297151723,9,6,6.37365911436568,5.293252709822504,6.373659114365682,5.293252709822501,2.6645352591003757e-15,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816100,820209,very_strong,0.957504849914475,18,12,13.396315866943969,12.113824182607665,13.396315866943967,12.113824182607663,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816101,820240,very_strong,0.9621951194614029,14,5,4.7236655849608695,3.71375574396766,4.723665584960873,3.7137557439676607,3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816102,820250,very_strong,0.9626097883056925,21,7,8.600228720761532,8.552744260972439,8.600228720761532,8.552744260972444,0.0,5.329070518200751e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816103,820257,very_strong,0.9520163644826495,15,5,3.0023097278738433,1.5159334282593484,3.0023097278738398,1.5159334282593524,3.552713678800501e-15,3.9968028886505635e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816104,820271,very_strong,0.9667766026406428,15,5,3.3839029879058415,1.688542671730417,3.3839029879058375,1.688542671730421,3.9968028886505635e-15,3.9968028886505635e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816105,820304,very_strong,0.9357531643061467,17,6,7.40425001261028,6.993180716256234,7.404250012610282,6.993180716256231,1.7763568394002505e-15,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816106,820307,very_strong,0.9587831833311913,18,6,5.610472594301687,4.948034222880366,5.610472594301687,4.948034222880364,0.0,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816107,820321,very_strong,0.9548777472308304,15,5,4.681898264331043,4.743180197655743,4.681898264331042,4.743180197655743,8.881784197001252e-16,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816108,820337,very_strong,0.9188974824066823,15,5,3.9187117442670463,4.397961710713609,3.9187117442670467,4.397961710713606,4.440892098500626e-16,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816109,820347,very_strong,0.945644368982597,16,6,5.847222731890554,5.425995111016313,5.84722273189056,5.425995111016315,6.217248937900877e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816110,820356,very_strong,0.972078818555843,19,7,5.775860404208338,4.807669761162849,5.775860404208336,4.807669761162847,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816111,820377,very_strong,0.9727392352756135,18,12,12.251536086847974,11.59599645219446,12.251536086847974,11.595996452194457,0.0,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816112,820378,very_strong,0.9672609488465712,18,12,11.984131708667373,10.241286932702867,11.984131708667368,10.241286932702865,5.329070518200751e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816113,820384,very_strong,0.9621951194614029,16,10,10.363733186314953,10.309539770389573,10.363733186314953,10.309539770389575,0.0,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816114,820385,very_strong,0.973673192442877,15,10,9.745389788694084,9.658969638782558,9.745389788694082,9.658969638782555,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
