seed,position,used,reason,released_block_authorization
816183,183,0,not_used_after_first_eligible_120_world_population,816001:816900
816184,184,0,not_used_after_first_eligible_120_world_population,816001:816900
816185,185,0,not_used_after_first_eligible_120_world_population,816001:816900
816186,186,0,not_used_after_first_eligible_120_world_population,816001:816900
816187,187,0,not_used_after_first_eligible_120_world_population,816001:816900
816188,188,0,not_used_after_first_eligible_120_world_population,816001:816900
816189,189,0,not_used_after_first_eligible_120_world_population,816001:816900
816190,190,0,not_used_after_first_eligible_120_world_population,816001:816900
816191,191,0,not_used_after_first_eligible_120_world_population,816001:816900
816192,192,0,not_used_after_first_eligible_120_world_population,816001:816900
816193,193,0,not_used_after_first_eligible_120_world_population,816001:816900
816194,194,0,not_used_after_first_eligible_120_world_population,816001:816900
816195,195,0,not_used_after_first_eligible_120_world_population,816001:816900
816196,196,0,not_used_after_first_eligible_120_world_population,816001:816900
816197,197,0,not_used_after_first_eligible_120_world_population,816001:816900
816198,198,0,not_used_after_first_eligible_120_world_population,816001:816900
816199,199,0,not_used_after_first_eligible_120_world_population,816001:816900
816200,200,0,not_used_after_first_eligible_120_world_population,816001:816900
816201,201,0,not_used_after_first_eligible_120_world_population,816001:816900
816202,202,0,not_used_after_first_eligible_120_world_population,816001:816900
816203,203,0,not_used_after_first_eligible_120_world_population,816001:816900
816204,204,0,not_used_after_first_eligible_120_world_population,816001:816900
816205,205,0,not_used_after_first_eligible_120_world_population,816001:816900
816206,206,0,not_used_after_first_eligible_120_world_population,816001:816900
816207,207,0,not_used_after_first_eligible_120_world_population,816001:816900
816208,208,0,not_used_after_first_eligible_120_world_population,816001:816900
816209,209,0,not_used_after_first_eligible_120_world_population,816001:816900
816210,210,0,not_used_after_first_eligible_120_world_population,816001:816900
816211,211,0,not_used_after_first_eligible_120_world_population,816001:816900
816212,212,0,not_used_after_first_eligible_120_world_population,816001:816900
816213,213,0,not_used_after_first_eligible_120_world_population,816001:816900
816214,214,0,not_used_after_first_eligible_120_world_population,816001:816900
816215,215,0,not_used_after_first_eligible_120_world_population,816001:816900
816216,216,0,not_used_after_first_eligible_120_world_population,816001:816900
816217,217,0,not_used_after_first_eligible_120_world_population,816001:816900
816218,218,0,not_used_after_first_eligible_120_world_population,816001:816900
816219,219,0,not_used_after_first_eligible_120_world_population,816001:816900
816220,220,0,not_used_after_first_eligible_120_world_population,816001:816900
816221,221,0,not_used_after_first_eligible_120_world_population,816001:816900
816222,222,0,not_used_after_first_eligible_120_world_population,816001:816900
816223,223,0,not_used_after_first_eligible_120_world_population,816001:816900
816224,224,0,not_used_after_first_eligible_120_world_population,816001:816900
816225,225,0,not_used_after_first_eligible_120_world_population,816001:816900
816226,226,0,not_used_after_first_eligible_120_world_population,816001:816900
816227,227,0,not_used_after_first_eligible_120_world_population,816001:816900
816228,228,0,not_used_after_first_eligible_120_world_population,816001:816900
816229,229,0,not_used_after_first_eligible_120_world_population,816001:816900
816230,230,0,not_used_after_first_eligible_120_world_population,816001:816900
816231,231,0,not_used_after_first_eligible_120_world_population,816001:816900
816232,232,0,not_used_after_first_eligible_120_world_population,816001:816900
816233,233,0,not_used_after_first_eligible_120_world_population,816001:816900
816234,234,0,not_used_after_first_eligible_120_world_population,816001:816900
816235,235,0,not_used_after_first_eligible_120_world_population,816001:816900
816236,236,0,not_used_after_first_eligible_120_world_population,816001:816900
816237,237,0,not_used_after_first_eligible_120_world_population,816001:816900
816238,238,0,not_used_after_first_eligible_120_world_population,816001:816900
816239,239,0,not_used_after_first_eligible_120_world_population,816001:816900
816240,240,0,not_used_after_first_eligible_120_world_population,816001:816900
816241,241,0,not_used_after_first_eligible_120_world_population,816001:816900
816242,242,0,not_used_after_first_eligible_120_world_population,816001:816900
816243,243,0,not_used_after_first_eligible_120_world_population,816001:816900
816244,244,0,not_used_after_first_eligible_120_world_population,816001:816900
816245,245,0,not_used_after_first_eligible_120_world_population,816001:816900
816246,246,0,not_used_after_first_eligible_120_world_population,816001:816900
816247,247,0,not_used_after_first_eligible_120_world_population,816001:816900
816248,248,0,not_used_after_first_eligible_120_world_population,816001:816900
816249,249,0,not_used_after_first_eligible_120_world_population,816001:816900
816250,250,0,not_used_after_first_eligible_120_world_population,816001:816900
816251,251,0,not_used_after_first_eligible_120_world_population,816001:816900
816252,252,0,not_used_after_first_eligible_120_world_population,816001:816900
816253,253,0,not_used_after_first_eligible_120_world_population,816001:816900
816254,254,0,not_used_after_first_eligible_120_world_population,816001:816900
816255,255,0,not_used_after_first_eligible_120_world_population,816001:816900
816256,256,0,not_used_after_first_eligible_120_world_population,816001:816900
816257,257,0,not_used_after_first_eligible_120_world_population,816001:816900
816258,258,0,not_used_after_first_eligible_120_world_population,816001:816900
816259,259,0,not_used_after_first_eligible_120_world_population,816001:816900
816260,260,0,not_used_after_first_eligible_120_world_population,816001:816900
816261,261,0,not_used_after_first_eligible_120_world_population,816001:816900
816262,262,0,not_used_after_first_eligible_120_world_population,816001:816900
816263,263,0,not_used_after_first_eligible_120_world_population,816001:816900
816264,264,0,not_used_after_first_eligible_120_world_population,816001:816900
816265,265,0,not_used_after_first_eligible_120_world_population,816001:816900
816266,266,0,not_used_after_first_eligible_120_world_population,816001:816900
816267,267,0,not_used_after_first_eligible_120_world_population,816001:816900
816268,268,0,not_used_after_first_eligible_120_world_population,816001:816900
816269,269,0,not_used_after_first_eligible_120_world_population,816001:816900
816270,270,0,not_used_after_first_eligible_120_world_population,816001:816900
816271,271,0,not_used_after_first_eligible_120_world_population,816001:816900
816272,272,0,not_used_after_first_eligible_120_world_population,816001:816900
816273,273,0,not_used_after_first_eligible_120_world_population,816001:816900
816274,274,0,not_used_after_first_eligible_120_world_population,816001:816900
816275,275,0,not_used_after_first_eligible_120_world_population,816001:816900
816276,276,0,not_used_after_first_eligible_120_world_population,816001:816900
816277,277,0,not_used_after_first_eligible_120_world_population,816001:816900
816278,278,0,not_used_after_first_eligible_120_world_population,816001:816900
816279,279,0,not_used_after_first_eligible_120_world_population,816001:816900
816280,280,0,not_used_after_first_eligible_120_world_population,816001:816900
816281,281,0,not_used_after_first_eligible_120_world_population,816001:816900
816282,282,0,not_used_after_first_eligible_120_world_population,816001:816900
816283,283,0,not_used_after_first_eligible_120_world_population,816001:816900
816284,284,0,not_used_after_first_eligible_120_world_population,816001:816900
816285,285,0,not_used_after_first_eligible_120_world_population,816001:816900
816286,286,0,not_used_after_first_eligible_120_world_population,816001:816900
816287,287,0,not_used_after_first_eligible_120_world_population,816001:816900
816288,288,0,not_used_after_first_eligible_120_world_population,816001:816900
816289,289,0,not_used_after_first_eligible_120_world_population,816001:816900
816290,290,0,not_used_after_first_eligible_120_world_population,816001:816900
816291,291,0,not_used_after_first_eligible_120_world_population,816001:816900
816292,292,0,not_used_after_first_eligible_120_world_population,816001:816900
816293,293,0,not_used_after_first_eligible_120_world_population,816001:816900
816294,294,0,not_used_after_first_eligible_120_world_population,816001:816900
816295,295,0,not_used_after_first_eligible_120_world_population,816001:816900
816296,296,0,not_used_after_first_eligible_120_world_population,816001:816900
816297,297,0,not_used_after_first_eligible_120_world_population,816001:816900
816298,298,0,not_used_after_first_eligible_120_world_population,816001:816900
816299,299,0,not_used_after_first_eligible_120_world_population,816001:816900
816300,300,0,not_used_after_first_eligible_120_world_population,816001:816900
816301,301,0,not_used_after_first_eligible_120_world_population,816001:816900
816302,302,0,not_used_after_first_eligible_120_world_population,816001:816900
816303,303,0,not_used_after_first_eligible_120_world_population,816001:816900
816304,304,0,not_used_after_first_eligible_120_world_population,816001:816900
816305,305,0,not_used_after_first_eligible_120_world_population,816001:816900
816306,306,0,not_used_after_first_eligible_120_world_population,816001:816900
816307,307,0,not_used_after_first_eligible_120_world_population,816001:816900
816308,308,0,not_used_after_first_eligible_120_world_population,816001:816900
816309,309,0,not_used_after_first_eligible_120_world_population,816001:816900
816310,310,0,not_used_after_first_eligible_120_world_population,816001:816900
816311,311,0,not_used_after_first_eligible_120_world_population,816001:816900
816312,312,0,not_used_after_first_eligible_120_world_population,816001:816900
816313,313,0,not_used_after_first_eligible_120_world_population,816001:816900
816314,314,0,not_used_after_first_eligible_120_world_population,816001:816900
816315,315,0,not_used_after_first_eligible_120_world_population,816001:816900
816316,316,0,not_used_after_first_eligible_120_world_population,816001:816900
816317,317,0,not_used_after_first_eligible_120_world_population,816001:816900
816318,318,0,not_used_after_first_eligible_120_world_population,816001:816900
816319,319,0,not_used_after_first_eligible_120_world_population,816001:816900
816320,320,0,not_used_after_first_eligible_120_world_population,816001:816900
816321,321,0,not_used_after_first_eligible_120_world_population,816001:816900
816322,322,0,not_used_after_first_eligible_120_world_population,816001:816900
816323,323,0,not_used_after_first_eligible_120_world_population,816001:816900
816324,324,0,not_used_after_first_eligible_120_world_population,816001:816900
816325,325,0,not_used_after_first_eligible_120_world_population,816001:816900
816326,326,0,not_used_after_first_eligible_120_world_population,816001:816900
816327,327,0,not_used_after_first_eligible_120_world_population,816001:816900
816328,328,0,not_used_after_first_eligible_120_world_population,816001:816900
816329,329,0,not_used_after_first_eligible_120_world_population,816001:816900
816330,330,0,not_used_after_first_eligible_120_world_population,816001:816900
816331,331,0,not_used_after_first_eligible_120_world_population,816001:816900
816332,332,0,not_used_after_first_eligible_120_world_population,816001:816900
816333,333,0,not_used_after_first_eligible_120_world_population,816001:816900
816334,334,0,not_used_after_first_eligible_120_world_population,816001:816900
816335,335,0,not_used_after_first_eligible_120_world_population,816001:816900
816336,336,0,not_used_after_first_eligible_120_world_population,816001:816900
816337,337,0,not_used_after_first_eligible_120_world_population,816001:816900
816338,338,0,not_used_after_first_eligible_120_world_population,816001:816900
816339,339,0,not_used_after_first_eligible_120_world_population,816001:816900
816340,340,0,not_used_after_first_eligible_120_world_population,816001:816900
816341,341,0,not_used_after_first_eligible_120_world_population,816001:816900
816342,342,0,not_used_after_first_eligible_120_world_population,816001:816900
816343,343,0,not_used_after_first_eligible_120_world_population,816001:816900
816344,344,0,not_used_after_first_eligible_120_world_population,816001:816900
816345,345,0,not_used_after_first_eligible_120_world_population,816001:816900
816346,346,0,not_used_after_first_eligible_120_world_population,816001:816900
816347,347,0,not_used_after_first_eligible_120_world_population,816001:816900
816348,348,0,not_used_after_first_eligible_120_world_population,816001:816900
816349,349,0,not_used_after_first_eligible_120_world_population,816001:816900
816350,350,0,not_used_after_first_eligible_120_world_population,816001:816900
816351,351,0,not_used_after_first_eligible_120_world_population,816001:816900
816352,352,0,not_used_after_first_eligible_120_world_population,816001:816900
816353,353,0,not_used_after_first_eligible_120_world_population,816001:816900
816354,354,0,not_used_after_first_eligible_120_world_population,816001:816900
816355,355,0,not_used_after_first_eligible_120_world_population,816001:816900
816356,356,0,not_used_after_first_eligible_120_world_population,816001:816900
816357,357,0,not_used_after_first_eligible_120_world_population,816001:816900
816358,358,0,not_used_after_first_eligible_120_world_population,816001:816900
816359,359,0,not_used_after_first_eligible_120_world_population,816001:816900
816360,360,0,not_used_after_first_eligible_120_world_population,816001:816900
816361,361,0,not_used_after_first_eligible_120_world_population,816001:816900
816362,362,0,not_used_after_first_eligible_120_world_population,816001:816900
816363,363,0,not_used_after_first_eligible_120_world_population,816001:816900
816364,364,0,not_used_after_first_eligible_120_world_population,816001:816900
816365,365,0,not_used_after_first_eligible_120_world_population,816001:816900
816366,366,0,not_used_after_first_eligible_120_world_population,816001:816900
816367,367,0,not_used_after_first_eligible_120_world_population,816001:816900
816368,368,0,not_used_after_first_eligible_120_world_population,816001:816900
816369,369,0,not_used_after_first_eligible_120_world_population,816001:816900
816370,370,0,not_used_after_first_eligible_120_world_population,816001:816900
816371,371,0,not_used_after_first_eligible_120_world_population,816001:816900
816372,372,0,not_used_after_first_eligible_120_world_population,816001:816900
816373,373,0,not_used_after_first_eligible_120_world_population,816001:816900
816374,374,0,not_used_after_first_eligible_120_world_population,816001:816900
816375,375,0,not_used_after_first_eligible_120_world_population,816001:816900
816376,376,0,not_used_after_first_eligible_120_world_population,816001:816900
816377,377,0,not_used_after_first_eligible_120_world_population,816001:816900
816378,378,0,not_used_after_first_eligible_120_world_population,816001:816900
816379,379,0,not_used_after_first_eligible_120_world_population,816001:816900
816380,380,0,not_used_after_first_eligible_120_world_population,816001:816900
816381,381,0,not_used_after_first_eligible_120_world_population,816001:816900
816382,382,0,not_used_after_first_eligible_120_world_population,816001:816900
816383,383,0,not_used_after_first_eligible_120_world_population,816001:816900
816384,384,0,not_used_after_first_eligible_120_world_population,816001:816900
816385,385,0,not_used_after_first_eligible_120_world_population,816001:816900
816386,386,0,not_used_after_first_eligible_120_world_population,816001:816900
816387,387,0,not_used_after_first_eligible_120_world_population,816001:816900
816388,388,0,not_used_after_first_eligible_120_world_population,816001:816900
816389,389,0,not_used_after_first_eligible_120_world_population,816001:816900
816390,390,0,not_used_after_first_eligible_120_world_population,816001:816900
816391,391,0,not_used_after_first_eligible_120_world_population,816001:816900
816392,392,0,not_used_after_first_eligible_120_world_population,816001:816900
816393,393,0,not_used_after_first_eligible_120_world_population,816001:816900
816394,394,0,not_used_after_first_eligible_120_world_population,816001:816900
816395,395,0,not_used_after_first_eligible_120_world_population,816001:816900
816396,396,0,not_used_after_first_eligible_120_world_population,816001:816900
816397,397,0,not_used_after_first_eligible_120_world_population,816001:816900
816398,398,0,not_used_after_first_eligible_120_world_population,816001:816900
816399,399,0,not_used_after_first_eligible_120_world_population,816001:816900
816400,400,0,not_used_after_first_eligible_120_world_population,816001:816900
816401,401,0,not_used_after_first_eligible_120_world_population,816001:816900
816402,402,0,not_used_after_first_eligible_120_world_population,816001:816900
816403,403,0,not_used_after_first_eligible_120_world_population,816001:816900
816404,404,0,not_used_after_first_eligible_120_world_population,816001:816900
816405,405,0,not_used_after_first_eligible_120_world_population,816001:816900
816406,406,0,not_used_after_first_eligible_120_world_population,816001:816900
816407,407,0,not_used_after_first_eligible_120_world_population,816001:816900
816408,408,0,not_used_after_first_eligible_120_world_population,816001:816900
816409,409,0,not_used_after_first_eligible_120_world_population,816001:816900
816410,410,0,not_used_after_first_eligible_120_world_population,816001:816900
816411,411,0,not_used_after_first_eligible_120_world_population,816001:816900
816412,412,0,not_used_after_first_eligible_120_world_population,816001:816900
816413,413,0,not_used_after_first_eligible_120_world_population,816001:816900
816414,414,0,not_used_after_first_eligible_120_world_population,816001:816900
816415,415,0,not_used_after_first_eligible_120_world_population,816001:816900
816416,416,0,not_used_after_first_eligible_120_world_population,816001:816900
816417,417,0,not_used_after_first_eligible_120_world_population,816001:816900
816418,418,0,not_used_after_first_eligible_120_world_population,816001:816900
816419,419,0,not_used_after_first_eligible_120_world_population,816001:816900
816420,420,0,not_used_after_first_eligible_120_world_population,816001:816900
816421,421,0,not_used_after_first_eligible_120_world_population,816001:816900
816422,422,0,not_used_after_first_eligible_120_world_population,816001:816900
816423,423,0,not_used_after_first_eligible_120_world_population,816001:816900
816424,424,0,not_used_after_first_eligible_120_world_population,816001:816900
816425,425,0,not_used_after_first_eligible_120_world_population,816001:816900
816426,426,0,not_used_after_first_eligible_120_world_population,816001:816900
816427,427,0,not_used_after_first_eligible_120_world_population,816001:816900
816428,428,0,not_used_after_first_eligible_120_world_population,816001:816900
816429,429,0,not_used_after_first_eligible_120_world_population,816001:816900
816430,430,0,not_used_after_first_eligible_120_world_population,816001:816900
816431,431,0,not_used_after_first_eligible_120_world_population,816001:816900
816432,432,0,not_used_after_first_eligible_120_world_population,816001:816900
816433,433,0,not_used_after_first_eligible_120_world_population,816001:816900
816434,434,0,not_used_after_first_eligible_120_world_population,816001:816900
816435,435,0,not_used_after_first_eligible_120_world_population,816001:816900
816436,436,0,not_used_after_first_eligible_120_world_population,816001:816900
816437,437,0,not_used_after_first_eligible_120_world_population,816001:816900
816438,438,0,not_used_after_first_eligible_120_world_population,816001:816900
816439,439,0,not_used_after_first_eligible_120_world_population,816001:816900
816440,440,0,not_used_after_first_eligible_120_world_population,816001:816900
816441,441,0,not_used_after_first_eligible_120_world_population,816001:816900
816442,442,0,not_used_after_first_eligible_120_world_population,816001:816900
816443,443,0,not_used_after_first_eligible_120_world_population,816001:816900
816444,444,0,not_used_after_first_eligible_120_world_population,816001:816900
816445,445,0,not_used_after_first_eligible_120_world_population,816001:816900
816446,446,0,not_used_after_first_eligible_120_world_population,816001:816900
816447,447,0,not_used_after_first_eligible_120_world_population,816001:816900
816448,448,0,not_used_after_first_eligible_120_world_population,816001:816900
816449,449,0,not_used_after_first_eligible_120_world_population,816001:816900
816450,450,0,not_used_after_first_eligible_120_world_population,816001:816900
816451,451,0,not_used_after_first_eligible_120_world_population,816001:816900
816452,452,0,not_used_after_first_eligible_120_world_population,816001:816900
816453,453,0,not_used_after_first_eligible_120_world_population,816001:816900
816454,454,0,not_used_after_first_eligible_120_world_population,816001:816900
816455,455,0,not_used_after_first_eligible_120_world_population,816001:816900
816456,456,0,not_used_after_first_eligible_120_world_population,816001:816900
816457,457,0,not_used_after_first_eligible_120_world_population,816001:816900
816458,458,0,not_used_after_first_eligible_120_world_population,816001:816900
816459,459,0,not_used_after_first_eligible_120_world_population,816001:816900
816460,460,0,not_used_after_first_eligible_120_world_population,816001:816900
816461,461,0,not_used_after_first_eligible_120_world_population,816001:816900
816462,462,0,not_used_after_first_eligible_120_world_population,816001:816900
816463,463,0,not_used_after_first_eligible_120_world_population,816001:816900
816464,464,0,not_used_after_first_eligible_120_world_population,816001:816900
816465,465,0,not_used_after_first_eligible_120_world_population,816001:816900
816466,466,0,not_used_after_first_eligible_120_world_population,816001:816900
816467,467,0,not_used_after_first_eligible_120_world_population,816001:816900
816468,468,0,not_used_after_first_eligible_120_world_population,816001:816900
816469,469,0,not_used_after_first_eligible_120_world_population,816001:816900
816470,470,0,not_used_after_first_eligible_120_world_population,816001:816900
816471,471,0,not_used_after_first_eligible_120_world_population,816001:816900
816472,472,0,not_used_after_first_eligible_120_world_population,816001:816900
816473,473,0,not_used_after_first_eligible_120_world_population,816001:816900
816474,474,0,not_used_after_first_eligible_120_world_population,816001:816900
816475,475,0,not_used_after_first_eligible_120_world_population,816001:816900
816476,476,0,not_used_after_first_eligible_120_world_population,816001:816900
816477,477,0,not_used_after_first_eligible_120_world_population,816001:816900
816478,478,0,not_used_after_first_eligible_120_world_population,816001:816900
816479,479,0,not_used_after_first_eligible_120_world_population,816001:816900
816480,480,0,not_used_after_first_eligible_120_world_population,816001:816900
816481,481,0,not_used_after_first_eligible_120_world_population,816001:816900
816482,482,0,not_used_after_first_eligible_120_world_population,816001:816900
816483,483,0,not_used_after_first_eligible_120_world_population,816001:816900
816484,484,0,not_used_after_first_eligible_120_world_population,816001:816900
816485,485,0,not_used_after_first_eligible_120_world_population,816001:816900
816486,486,0,not_used_after_first_eligible_120_world_population,816001:816900
816487,487,0,not_used_after_first_eligible_120_world_population,816001:816900
816488,488,0,not_used_after_first_eligible_120_world_population,816001:816900
816489,489,0,not_used_after_first_eligible_120_world_population,816001:816900
816490,490,0,not_used_after_first_eligible_120_world_population,816001:816900
816491,491,0,not_used_after_first_eligible_120_world_population,816001:816900
816492,492,0,not_used_after_first_eligible_120_world_population,816001:816900
816493,493,0,not_used_after_first_eligible_120_world_population,816001:816900
